time_step,target,fm_gru,fc_lstm
0,5.3,5.0970526,8.495487
1,5.13,5.209977,5.578667
2,6.1999993,5.2926393,5.7946835
3,5.62,5.6627007,6.2607102
4,7.38,5.93579,5.570593
5,6.39,5.728764,5.483673
6,6.21,5.4554486,9.24957
7,6.03,5.8349357,5.731573
8,7.01,6.0999646,6.084346
9,6.58,6.308236,5.848511
10,6.03,6.2326035,5.5864606
11,5.92,6.146575,5.702238
12,4.21,4.708145,6.7374725
13,5.07,4.640462,6.2306066
14,5.27,4.572953,6.6866536
15,3.81,4.507057,6.638602
16,3.74,4.479302,6.40509
17,4.72,4.4615316,6.1735234
18,2.93,4.4476643,6.125569
19,3.95,4.442063,6.017842
20,3.26,4.441989,5.9852214
21,3.76,4.4496074,6.1700745
22,5.07,4.4624023,6.66332
23,5.46,4.47731,6.795713
24,6.29,5.0877047,6.7820444
25,5.74,4.964836,7.3033853
26,5.63,4.9129887,6.855876
27,5.46,4.9310703,7.027905
28,5.42,4.948947,6.823325
29,5.28,5.088373,6.8429894
30,5.32,5.0199614,6.97939
31,4.58,5.1779623,6.924596
32,4.46,5.1724815,6.8655853
33,4.3200006,5.1253815,6.385312
34,5.0,5.0468655,7.5791035
35,5.68,5.0742555,7.001161
36,7.94,6.7835526,4.828741
37,9.76,7.5684695,4.8193054
38,9.37,8.616006,5.713704
39,10.34,8.378294,6.4917917
40,9.27,6.4551706,6.757768
41,7.05,5.9925275,6.5483494
42,7.62,5.783427,6.816696
43,6.24,5.4936104,6.9227014
44,6.18,5.7489643,7.723185
45,6.75,5.7089286,6.7136483
46,4.88,5.231195,6.640475
47,4.61,5.0619955,6.945576
48,5.1799994,4.444445,6.8212023
49,5.33,4.515856,7.7504
50,5.02,4.659321,7.1534405
51,5.24,4.7287188,8.611035
52,5.02,4.7927475,7.0901003
53,5.63,4.8280706,8.356552
54,5.19,4.841577,7.5832195
55,5.12,4.8459177,6.9743814
56,5.48,4.8403854,6.81019
57,5.41,4.857439,6.6151786
58,5.63,4.8771353,6.5649576
59,5.14,4.928696,6.9046216
