K,MAE,MSE,RMSE,NRMSE
4,0.6103076934814453,0.7507843971252441,0.8664781573272601,0.1823257952928543
12,0.5731261968612671,0.5940462946891785,0.7707439877736176,0.16218124330043793
24,0.5350239276885986,0.5247180461883545,0.7243742445644754,0.15242405235767365
36,0.7161794900894165,1.0328730344772339,1.0163036133347327,0.21385233104228973
48,0.602592945098877,0.6570929884910583,0.8106127241112481,0.170570507645607
60,0.6071162819862366,0.7542153596878052,0.8684557327162998,0.1827419251203537
72,0.5600706934928894,0.6028052568435669,0.7764053431317735,0.16337251663208008
84,0.5841089487075806,0.6106165647506714,0.78141958303505,0.16442762315273285
96,1.148956537246704,2.25471830368042,1.5015719442239257,0.3159632980823517
108,0.6692920327186584,0.8775249719619751,0.9367630287121579,0.19711525738239288
120,0.6395643949508667,0.8686245083808899,0.932000272736489,0.19611307978630066
